Vendor,Product,Version,EOS Date,Risk,Cost
  microsoft  ,Windows Server,v2012 R2,10/10/2023,critical,"$15,000"
ADOBE,  Creative Cloud  ,Version 2023,12/31/2026,SAFE,€8500
oracle,Database,ver 11g,01-31-2024,medium,25000.50
  Salesforce  ,CRM,Enterprise,2027-06-15,low,"$12,000"
VMWARE,vSphere,6.5,10/15/2022,high,18000
sap,ERP,S/4HANA,12/31/2028,safe,"£45,000"
atlassian,  Jira  ,v9.0,11/30/2025,Safe,6500
Microsoft,Office 365,version 2021,10-13-2026,LOW,"$9,000"
adobe,Photoshop,CC 2020,06/01/2023,CRITICAL,4500
ORACLE,Java,v8,03-31-2022,Critical,0

